词(棒读),更新时间,词性,汉字,意思,例子,isir,litsir,备注
pa,2025.02.07,名词,疤,伤口。,留疤,sye-qáu,lau pa,
pa-pâ,2025.02.07,名词,爸爸,父亲。,,pě-chin,,也叫pa，pâ，a-pa或a-pâ
pa-lói,2025.02.07,动词,,把无用的物件物伊有用。,只车无用，着pa-lói。,Pá bô-ēng kāi muex-kyǎ muex i ǔ-ēng.,"Tsiah chia bô-ēng, tiox pa-lói.",
pá,2025.02.07,形容词,饱/飽,肚𠀾困。,肚饱,Tóu bǒi qùn.,,
pá,2025.02.07,介词,把,表示处理。,你把伊睇做啥物人？,Pióu-sī chù-lí.,Lír pá i thóy tsò six-mix nâng?,
pà,2025.02.07,名词,豹,一种动物。,,,,
,2025.02.07,,霸,勥人,学霸,qiàng nâng,hag-pà,
pǎ-kang,2025.02.07,名词、动词,罢工/罷工,,,,,
pǎ-què,2025.02.07,名词、动词,罢课/罷課,,,,,
pǎ-chǐ,2025.02.07,名词、动词,罢市/罷市,,,,,
pan,2025.02.07,名词,班,,,,,
pan-qit,2025.02.07,名词,班级/班級,,,,,
pan-tsiáng,2025.02.07,名词,班长,,,,,
pan-bé,2025.02.07,名词,斑马/斑馬,,,,,
pan-bé-swà,2025.02.07,名词,斑马线/斑馬綫,,,,,
pán,2025.02.07,名词,板,,,,,
pán-pún,2025.02.07,名词,版本,,,,,
pat,2025.02.07,数词,八(文读),,,,,
pat,2025.02.07,动词,捌,认识,,,,
,,,,以前做过,,,,
pad,2025.02.07,形容词,别,,,,,
pang-tsǒ,,动词,帮助/幫助,,,,,
,,名词,榜样/榜樣,,,,,
,,动词,放,,,,,
,,动词,放生,,,,,
pak,,动词,剥,,,,,
pak-siah,,动词,剥削,,,,,
pak,,名词,北,,,,,
pak,,名词,幅,,,,,
pak,,名词,腹,,,,,
pak-ki,,名词,腹肌,,,,,
,,名词,房,,,,,
,,名词,房间,,,,,
,,名词,棒,,,,,
pag,,动词,缚,,,,,
,,动词,摆,,,,,
,,动词,拜,,,,,
,,名词,牌,,,,,
,,动词,排,,,,,
,,动词,bye-bye/拜拜,,,,,
pau,,名词、动词,包,,,,,
pauh,,拟态词,,炸过的物件变大彼块形。,,,,
,,形容词,暴力,,,,,
,,动词,爆炸,,,,,
,,名词,鲍鱼,,,,,
pe,,动词,扒,,,,,
,,名词,把,,,,,
peh,,动词,擘,把物件的壳分开。,,,,
,,数词,百,,,,,
,,名词,伯,,,,,
,,动词,爬,,,,,
,,名词,父,,,,,
pex,,形容词,白,,,,,
,,形容词,白䭕,,,,,
,,名词,柄,,,,,
,,形容词,平,,,,,
,,名词,棚,,,,,
,,名词,病,,,,,
peng,,动词,,,,,,
pek,,动词,逼,,,,,
pek,,动词,,烧烤,,,,
pěng-liad,,形容词,并列,,,,,
pěng-chyá,,副词,并且,,,,,
pi,,名词,,,,,,
,,动词,比,,,,,
,,名词,脾,,,,,
,,名词,琵琶,,,,,
,,,枇杷,,,,,
,,形容词,备用,,,,,
,,介词,被,,,,,
pyi,,名词,辫,,,,,
pyi,,名词,边(白读),,,,,
,,形容词,扁(白读),,,,,
,,动词,变/變(白读),,,,,
,,动词,辫,,,,,
,,名词,品,,,,,
,,名词,遍(白读),,,,,
pit,,名词,笔,,,,,
pit-su,,动词,必须,,,,,
pid-ngiag,,动词,毕业,,,,,
,,名词,乒乓,,,,,
,,名词,乒乓球,,,,,
piah,,名词,壁,,,,,
pya,,名词,兵,,,,,
pya,,名词,冰,,,,,
,,名词,饼,,,,,
,,天干,丙,,,,,
,,动词,拚,,,,,
,,动词,摒,把物件倒到别块cho的。,,,,
pian,,动词,鞭,sau3落去,,,,
pian,,名词,边(文读),,,,,
,,形容词,扁(文读),,,,,
,,动词,变/變(文读),,,,,
,,名词,遍(文读),,,,,
,,动词,辩,,,,,
,,动词,辩论,,,,,
piáu-keh,,名词,表格,,,,,
,,名词,表面,,,,,
pie,,名词,表/錶,,,,,
pie,,名词,标/標,,,,,
,,词头,表-,,,,,
,,动词,漂白,,,,,
Png,,姓氏,方,,,,,
po,,名词,坡,,,,,
,,名词,玻璃,,,,,
,,名词,宝贝,,,,,
,,动词,保护,,,,,
,,动词,保护,,,,,
,,动词,包庇,,,,,
,,名词、动词,报告,,,,,
,,名词,报纸,,,,,
pox,,形容词,薄,,,,,
pong,,动词,,sau3落去,,,,
pòng,,动词,,爆炸,,,,
pông,,名词,泵,,,,,
pông,,名词、动词,,共球加气的物件，佮此个动作,,,,
pǒng,,动词,,洗浴,,,,
pōng,,拟声词,,炸弹爆炸的声音,,,,
pog,,拟声词,,泡泡爆炸的声音,,,,
pou,,名词,埠,,,,,
,,动词,补,,,,,
,,名词,脯,,,,,
,,名词,布,,,,,
,,名词,部分,,,,,
,,名词,部门,,,,,
,,动词,哺,,,,,
,,形容词,富,,,,,
,,动词,布置,,,,,
puh,,动词,,,,,,
,,名词,匏,,,,,
,,名词,垺,,一垺屎,,,
,,动词,炰,,炰水,,,
,,动词,孵,,,,,
pun,,动词,分,,,,,
,,名词,本,,,,,
,,名词,畚斗,,,,,
,,名词,畚箕,,,,,
put,,副词,不,,,,,
put,,动词,抔,,抔垃圾,,,
,,动词,歕,,歕风,,,
puah,,名词,缽,碗,,,,
puax,,动词,跋,,跋落去,,,
,,,,,跋钱,,,
pwa,,动词,搬,,,,,
,,形容词,半,,,,,
,,名词,盘,,,,,
,,动词,拌,予人食竹囝鱼,,,,
puǎn-sau,,动词,,,,,,
puad,,名词、动词,拔河,,,,,
pue,,名词,杯,,,,,
,,动词,飞(白读),,,,,
,,名词,菠薐,,,,,
,,动词,㧳,,,,,
,,动词,背,,,,,
,,动词,背诵,,,,,
,,动词,赔,,,,,
,,名词,倍,,,,,
pui,,形容词,悲伤,,,,,
,,形容词,悲惨,,,,,
,,形容词,肥,体型大,,,,
,,,,配咸的油㩼,,,,
,,动词,吠,,,,,
